"opt_func","seed","rob_beta","map_size","valid_preds","total_counterexamples","relative_error","runtime","accuracy"
"AT","42","0.001","31","9743","0","0","85.3109228610992","0.961305552704506"
"AT","42","0.01","46","9687","2","0.00168350168350168","92.0943052768707","0.977805306080314"
"AT","42","0.02","61","9668","1","0.00137551581843191","92.3703193664551","0.978071990070335"
"AT","42","0.05","50","9794","0","0","78.7324228286743","0.976414131100674"
"AT","42","0.1","66","9772","2","0.000156152404747033","86.6694984436035","0.975644699140401"
"AT","42","0.2","70","9764","5","0.00104493207941484","97.6266007423401","0.975931995083982"
"AT","42","0.5","58","9874","3","0.0021505376344086","67.1709043979645","0.967389102693944"
"AT","42","1","49","9904","5","0.0192307692307692","67.2694776058197","0.955977382875606"
"AT","42","10","40","9893","5","0.000424268137462877","101.222281932831","0.818053168907308"
"AT","42","2","57","9879","3","0.000408997955010225","64.2070891857147","0.933798967506833"
"AT","42","20","56","9924","1","0.00196850393700787","98.7649390697479","0.578194276501411"
"AT","42","5","47","9894","4","0.000874890638670166","63.6180946826935","0.895290074792804"
"AT","666","0.001","39","9816","1","0.00204498977505112","78.6649541854858","0.950488997555012"
"AT","666","0.01","49","9686","1","0.00102669404517454","90.1938529014587","0.976151145983894"
"AT","666","0.02","48","9651","0","0","91.4845051765442","0.97451041342866"
"AT","666","0.05","53","9764","0","0","85.4059946537018","0.97572716099959"
"AT","666","0.1","61","9776","3","0.000186462800671266","58.8345572948456","0.976268412438625"
"AT","666","0.2","73","9811","5","0.00112233445566779","58.2333257198334","0.974722250535114"
"AT","666","0.5","69","9849","0","0","91.6308858394623","0.965478728804955"
"AT","666","1","50","9894","2","0.000274914089347079","100.405530929565","0.950980392156863"
"AT","666","10","26","9875","4","0.00164203612479475","56.4234645366669","0.784405063291139"
"AT","666","2","55","9873","6","0.0118343195266272","69.9574282169342","0.920692798541477"
"AT","666","5","58","9892","0","0","93.6963937282562","0.881924787707238"
"AT","69","0.001","42","9739","0","0","89.7276320457458","0.958517301571003"
"AT","69","0.01","44","9840","0","0","55.1746735572815","0.975813008130081"
"AT","69","0.02","53","9746","2","0.0029940119760479","75.4980835914612","0.975169300225734"
"AT","69","0.05","61","9805","0","0","56.7438380718231","0.975828658847527"
"AT","69","0.1","67","9810","2","0.000821018062397373","57.981308221817","0.976452599388379"
"AT","69","0.2","72","9762","3","0.00308641975308642","79.4778802394867","0.973878303626306"
"AT","69","0.5","69","9851","3","0.00342465753424658","94.2752876281738","0.965891787635773"
"AT","69","1","64","9884","2","0.00254452926208651","63.1177418231964","0.950627276406313"
"AT","69","10","36","9884","5","0.00816326530612245","104.558642864227","0.794010522055848"
"AT","69","2","38","9877","0","0","75.2972528934479","0.927508352738686"
"AT","69","20","7","9879","0","0","94.9613795280457","0.651685393258427"
"AT","69","5","36","9877","0","0","64.4187877178192","0.903310721879113"
"Standard","42","0.1","34","9836","3","0.00531914893617021","71.499701499939","0.966144774298495"
"Standard","666","0.1","32","9794","0","0","90.2182030677795","0.961915458443945"
"Standard","69","0.1","42","9858","0","0","77.2209241390228","0.941265976871576"
